#TAG,NAME IN REPO (or git url),Description
,highlight, Fast and flexible source code highlighter (CLI version)
,isync, IMAP and MailDir mailbox synchronizer
,klavaro, Free touch typing tutor program
,libreoffice-still, LibreOffice maintenance branch
,light, Program to easily change brightness on backlight-controllers
,npm, A package manager for javascript
,openssh, SSH protocol implementation for remote login command execution and file transfer
,pass, Stores retrieves generates and synchronizes passwords securely
,python-pip, The PyPA recommended tool for installing Python packages
,renameutils, A set of programs designed to make renaming of files faster and less cumbersome
,rsync, A fast and versatile file copying tool for remote and local files
,speedtest-cli, Command line interface for testing internet bandwidth using speedtest.net
,syncthing, Open Source Continuous Replication / Cluster Synchronization Thing
,transmission-cli, Fast easy and free BitTorrent client (CLI tools daemon and web client)
,ttf-inconsolata, Monospace font for pretty code listings and for the terminal
,ttf-joypixels, Emoji as a Service (formerly EmojiOne)
,thunderbird, An email cliet
,wireguard-tools, A next generation secure network tunnel - tools for configuration
,ufw, Uncomplicated and easy to use CLI tool for managing a netfilter firewall
,units, Converts between different units
,nfs-utils, Support programs for Network File Systems
,cifs-utils, CIFS filesystem user-space tools
,usbutils, A collection of USB tools to query connected USB devices
,python-pynvim, Python client for Neovim
,nvtop, GPUs process monitoring for AMD Intel and NVIDIA
,cmake, A cross-platform open-source make system
,glow, A command line markdown viewer
,ethtool, Utility for controlling network drivers and hardware
,gocryptfs, An Encrypted overlay filesystem written in Go
,rkhunter, Checks machines for the presence of rootkits and other unwanted tools
,lynis, Security and system auditing tool to harden Unix/Linux systems
,zsh, A very advanced and programmable command interpreter (shell) for UNIX
,zsh-history-substring-search, ZSH port of Fish history search
,zsh-autosuggestions, Fish-like autosuggestions for zsh
,zsh-theme-powerlevel10k,  	Powerlevel10k is a theme for Zsh. It emphasizes speed flexibility and out-of-the-box experience.
A,ipinfo-cli, Command Line Interface for the IPinfo API (IP geolocation and other types of IP data)
A,ookla-speedtest-bin, Speedtest CLI by Ookla
A,zsh-fast-syntax-highlighting, Optimized and extended zsh-syntax-highlighting
A,colorpicker, Click on a pixel on your screen and print its color value in RGB. Written for X11
A,exodus, Send receive & exchange cryptocurrency with ease on the world's leading Desktop Mobile and Hardware wallets. Bitcoin wallet
A,brother-hll2395dw, Brother HL-L2395DW CUPS driver
A,mutt-wizard-git, Easily auto-configure neomutt and isync/mpop with safe passwords (IMAP/POP3/SMTP)
A,nerd-fonts-git, Iconic font aggregator collection and patcher. Includes popular glyph collections
